"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex","dataType"
"syn40451427","1640791820708-recording-1.wav","1","audio/x-wav","32698","3428786","1666095757228","3428786","1666095757841","syn40390840","https://www.synapse.org/#!Synapse:syn40451427.1","90db4689da7b3c5a574174d315d52576","wav"
"syn40416988","1640126588319-recording-1.wav","1","audio/x-wav","32698","3428786","1666075838176","3428786","1666075839037","syn40390840","https://www.synapse.org/#!Synapse:syn40416988.1","e1891d9880b1ceba2afaf58f46d4f98c","wav"
"syn40417302","1640172114070-recording-1.wav","1","audio/x-wav","32698","3428786","1666075956317","3428786","1666075957141","syn40390840","https://www.synapse.org/#!Synapse:syn40417302.1","dd7b75503af1d9d85c2472059497553a","wav"
"syn40417673","1640227532794-recording-1.wav","1","audio/x-wav","32698","3428786","1666076093667","3428786","1666076094502","syn40390840","https://www.synapse.org/#!Synapse:syn40417673.1","d194894657ff3cf9da20588698d0107f","wav"
"syn40419225","1640503394625-recording-1.wav","1","audio/x-wav","32698","3428786","1666076676819","3428786","1666076677450","syn40390840","https://www.synapse.org/#!Synapse:syn40419225.1","40d329761959d56214e4a87ad5b904c0","wav"
"syn40419872","1640592040523-recording-1.wav","1","audio/x-wav","32698","3428786","1666076921050","3428786","1666076921559","syn40390840","https://www.synapse.org/#!Synapse:syn40419872.1","3633cadf0196e52942e20fbea3f5859e","wav"
"syn40402976","1637900095114-recording-1.wav","1","audio/x-wav","32698","3428786","1666070534759","3428786","1666070535722","syn40390840","https://www.synapse.org/#!Synapse:syn40402976.1","514ce2f9009f96dd5f646431a285ef7d","wav"
"syn40405878","1637751793894-recording-1.wav","1","audio/x-wav","32698","3428786","1666071633566","3428786","1666071634197","syn40390840","https://www.synapse.org/#!Synapse:syn40405878.1","eeaaad67d2826e00dba47bcabb7459a7","wav"
"syn40411611","1639747317373-recording-1.wav","1","audio/x-wav","32698","3428786","1666073805397","3428786","1666073806247","syn40390840","https://www.synapse.org/#!Synapse:syn40411611.1","a028b03fb06af136bb4db3b755cd558d","wav"
"syn40411645","1639747407590-recording-1.wav","1","audio/x-wav","32698","3428786","1666073817922","3428786","1666073818423","syn40390840","https://www.synapse.org/#!Synapse:syn40411645.1","b51ccedf1caf158dd23a386dc099b86c","wav"
"syn40411974","1639749632750-recording-1.wav","1","audio/x-wav","32698","3428786","1666073942778","3428786","1666073943325","syn40390840","https://www.synapse.org/#!Synapse:syn40411974.1","09c6bce3bc3824b621828c677321329f","wav"
"syn40413749","1639844533177-recording-1.wav","1","audio/x-wav","32698","3428786","1666074618191","3428786","1666074618861","syn40390840","https://www.synapse.org/#!Synapse:syn40413749.1","d5e0a06da443d7fb34d11288ec0f0839","wav"
"syn40426277","1640876350940-recording-1.wav","1","audio/x-wav","32698","3428786","1666079387697","3428786","1666079388462","syn40390840","https://www.synapse.org/#!Synapse:syn40426277.1","a7bc068b3d9e7f94a784e1b4cf8f5208","wav"
"syn40406435","1637812023788-recording-1.wav","1","audio/x-wav","32698","3428786","1666071844069","3428786","1666071844867","syn40390840","https://www.synapse.org/#!Synapse:syn40406435.1","b8063c36c7d1c123a03bd5689822bd8c","wav"
"syn40408084","1637983482179-recording-1.wav","1","audio/x-wav","32698","3428786","1666072472351","3428786","1666072473240","syn40390840","https://www.synapse.org/#!Synapse:syn40408084.1","4198aa34c8ebb78a06febf218224ea47","wav"
"syn40420469","1640665861984-recording-1.wav","1","audio/x-wav","32698","3428786","1666077145292","3428786","1666077146249","syn40390840","https://www.synapse.org/#!Synapse:syn40420469.1","ce204026de403800d59c6b6f08b66ba5","wav"
"syn40422419","1640766595962-recording-1.wav","1","audio/x-wav","32698","3428786","1666077888522","3428786","1666077889469","syn40390840","https://www.synapse.org/#!Synapse:syn40422419.1","571939659b3c4d5d4e0421974c885183","wav"
"syn40422808","1640775947691-recording-1.wav","1","audio/x-wav","32698","3428786","1666078039346","3428786","1666078040093","syn40390840","https://www.synapse.org/#!Synapse:syn40422808.1","e228f3bd066b6922b4c32f828fb906b3","wav"
"syn40421382","1640726392541-recording-1.wav","1","audio/x-wav","36226","3428786","1666077489668","3428786","1666077490465","syn40390840","https://www.synapse.org/#!Synapse:syn40421382.1","0d53f6a796518f210509b1c2dd8b70f1","wav"
"syn40422457","1640768610604-recording-1.wav","1","audio/x-wav","36226","3428786","1666077903148","3428786","1666077903793","syn40390840","https://www.synapse.org/#!Synapse:syn40422457.1","b82ebfa7e50827902ea4fd920efef907","wav"
"syn40422623","1640773301504-recording-1.wav","1","audio/x-wav","36226","3428786","1666077967637","3428786","1666077968340","syn40390840","https://www.synapse.org/#!Synapse:syn40422623.1","35d6e14253df78c2745855cd1544d0c4","wav"
"syn40402940","1637898381089-recording-1.wav","1","audio/x-wav","36226","3428786","1666070521520","3428786","1666070522121","syn40390840","https://www.synapse.org/#!Synapse:syn40402940.1","b657a57f9b01808e7100f8bb89d27a1c","wav"
"syn40403020","1637900455914-recording-1.wav","1","audio/x-wav","36226","3428786","1666070551547","3428786","1666070552133","syn40390840","https://www.synapse.org/#!Synapse:syn40403020.1","c598fee80e2d6be22a361494fea1498b","wav"
"syn40404186","1637971541026-recording-1.wav","1","audio/x-wav","36226","3428786","1666070987577","3428786","1666070988159","syn40390840","https://www.synapse.org/#!Synapse:syn40404186.1","76d55ae6e65dd56751e8981593b7a21a","wav"
"syn40451700","1640829859020-recording-1.wav","1","audio/x-wav","36226","3428786","1666095860967","3428786","1666095861773","syn40390840","https://www.synapse.org/#!Synapse:syn40451700.1","8a619385dda7e9fcd69eeaa8f27f70bb","wav"
"syn40452760","1640965504082-recording-1.wav","1","audio/x-wav","36226","3428786","1666096161779","3428786","1666096162689","syn40390840","https://www.synapse.org/#!Synapse:syn40452760.1","27249110e08dfc7aee903fa006551a3a","wav"
"syn40455172","1639586060951-recording-1.wav","1","audio/x-wav","36226","3428786","1666096903403","3428786","1666096904285","syn40390840","https://www.synapse.org/#!Synapse:syn40455172.1","231ae1c1898a59f7dffd21cea0bdcb9b","wav"
"syn40417474","1640190546837-recording-1.wav","1","audio/x-wav","36226","3428786","1666076020261","3428786","1666076020928","syn40390840","https://www.synapse.org/#!Synapse:syn40417474.1","6b653d865ec271c636bbc9898355aee5","wav"
"syn40418217","1640340626510-recording-1.wav","1","audio/x-wav","36226","3428786","1666076298976","3428786","1666076299622","syn40390840","https://www.synapse.org/#!Synapse:syn40418217.1","ba42d9a0abe9cdebab749e1454ef27b5","wav"
